word,grade_level,difficulty,definition,sentence,part_of_speech,origin
desert,3,easy,a dry landscape with almost no rain,She imagined crossing a desert of unknown words.,noun,Latin
dinner,3,easy,the main meal of the day,The family discussed spelling bee words over dinner.,noun,French
doctor,3,easy,a person trained to treat illness,The doctor in the story was known for using long medical words.,noun,Latin
dragon,3,easy,a large fire-breathing creature from stories,The dragon in the legend had an unpronounceable name.,noun,Greek
dream,3,easy,images and thoughts experienced while asleep,She had a dream that she won the national spelling bee.,noun,English
drink,3,easy,to take liquid into the mouth,She stopped to drink water before her final turn.,verb,English
during,3,easy,throughout the time of something,She stayed calm during every round of the competition.,preposition,Latin
each,3,easy,every one of a group,She studied each word until she could spell it instantly.,adjective,English
early,3,easy,before the expected time,She arrived early to get settled before the bee began.,adjective,English
earth,3,easy,the planet we live on,She loved words about the earth and its geography.,noun,English
eight,3,easy,the number 8,She had mastered eight new word patterns that month.,number,English
enjoy,3,easy,to take pleasure in something,She began to truly enjoy the challenge of spelling.,verb,French
enter,3,easy,to go into a place,She took a deep breath before entering the competition hall.,verb,Latin
every,3,easy,each one without exception,She practiced every word on the list before the bee.,adjective,English
example,3,easy,something that shows what others are like,She gave an example of the word used in a sentence.,noun,Latin
except,3,easy,not including,She had studied every word except the last three.,preposition,Latin
explain,3,easy,to make something understood,She loved to explain word origins to her classmates.,verb,Latin
family,3,easy,a group of related people,Her whole family came to support her at the regional finals.,noun,Latin
famous,3,easy,known by many people,She dreamed of one day becoming a famous spelling champion.,adjective,Latin
farmer,3,easy,a person who works on a farm,The farmer in the story had unusual names for all his animals.,noun,English
feather,3,easy,the soft growth on a bird's body,She found a blue feather and pressed it into her dictionary.,noun,English
field,3,easy,an open area of land,They practiced pronunciation while walking across the field.,noun,English
finger,3,easy,one of the five parts of the hand,She tapped her finger for each syllable she spelled aloud.,noun,English
finish,3,easy,to bring something to its end,She was always the last to finish because she double-checked everything.,verb,French
flower,3,easy,the colored part of a plant,She pressed a flower between the pages of her spelling journal.,noun,English
follow,3,easy,to go behind or act according to a rule,She chose to follow each spelling rule carefully.,verb,English
forest,3,easy,a large area covered in trees,The forest in the story had trees with unspellable names.,noun,French
forget,3,easy,to fail to remember something,She tried never to forget a word she had once learned.,verb,English
forward,3,easy,toward the front or future,She stepped forward confidently when her name was called.,adverb,English
friend,3,easy,a person you like and trust,Her best friend was also her favorite spelling partner.,noun,English
frozen,3,easy,turned solid by cold,She stood frozen for just a moment before the word came to her.,adjective,English
funny,3,easy,causing laughter,She thought homophones were funny and tricky at the same time.,adjective,English
garden,3,easy,a piece of land for growing plants,She often reviewed word lists in the garden on sunny afternoons.,noun,French
giant,3,easy,very large in size,She had giant ambitions for her spelling career.,adjective,French
glass,3,easy,a hard clear material or a container for drinking,She filled her glass with cold water before the competition.,noun,English
golden,3,easy,having the color or quality of gold,She kept the golden trophy on her bedroom shelf.,adjective,English
grass,3,easy,the short green plants covering the ground,She sat on the grass outside and reviewed her word list.,noun,English
great,3,easy,very large or very good,She had a great memory for unusual letter combinations.,adjective,English
group,3,easy,a number of people or things together,She studied with a group of friends twice a week.,noun,French
guess,3,easy,to form an opinion without certainty,She never wanted to guess the spelling of a word.,verb,English
happy,3,easy,feeling pleasure or joy,She felt happy and calm on the day of the competition.,adjective,English
heavy,3,easy,weighing a lot,Her bag felt heavy with dictionaries and word lists.,adjective,English
honey,3,easy,a sweet food made by bees,She stirred honey into her tea while reviewing her notes.,noun,English
horse,3,easy,a large animal used for riding,She read a story about a girl who taught her horse words.,noun,English
house,3,easy,a building where people live,She set up her study space in a quiet part of the house.,noun,English
hundred,3,easy,the number 100,She aimed to master one hundred words each month.,number,English
hungry,3,easy,feeling the need to eat,She stayed hungry for knowledge every single day.,adjective,English
important,3,easy,having great value or meaning,She knew how important daily practice was.,adjective,Latin
inside,3,easy,in the interior of something,She stayed inside to study during the rainstorm.,adverb,English
island,3,easy,a piece of land surrounded by water,She loved that the word island had a silent letter.,noun,English
jacket,3,easy,a short coat,She zipped her jacket before the chilly outdoor competition.,noun,French
jelly,3,easy,a soft sweet food made from fruit juice,She had toast with jelly every morning before studying.,noun,English
jewel,3,easy,a precious gemstone,She kept each new word like a jewel in her memory.,noun,French
jungle,3,easy,a dense tropical forest,She read a novel where the jungle had its own language.,noun,Portuguese
kitchen,3,easy,the room where food is prepared,She would spell words aloud while helping in the kitchen.,noun,English
kite,3,easy,a toy flown in the wind on a string,She flew a kite on the afternoon before the finals to relax.,noun,English
kitten,3,easy,a young cat,Her kitten always sat on her word list when she was studying.,noun,English
ladder,3,easy,a structure used for climbing,She thought of each new word as a rung on a ladder.,noun,English
large,3,easy,of great size,She had a large goal but a clear plan to reach it.,adjective,English
later,3,easy,at a time after now,She promised herself she would celebrate later.,adverb,English
laugh,3,easy,to make sounds that show amusement,She loved to laugh at the funny sentences she invented for practice.,verb,English
lazy,3,easy,unwilling to work,She was never lazy about her daily word review.,adjective,English
leader,3,easy,a person who guides others,She became the natural spelling leader of her study group.,noun,English
learn,3,easy,to gain knowledge or skill,She would learn something new from every word she studied.,verb,English
leather,3,easy,material made from animal skin,She kept her notes in a neat leather folder.,noun,English
lemon,3,easy,a sour yellow citrus fruit,She squeezed lemon into her water on competition mornings.,noun,Arabic
letter,3,easy,a symbol in the alphabet or a written message,She carefully formed each letter before writing a word.,noun,Latin
library,3,easy,a place where books are kept,She spent every Saturday at the library building her word knowledge.,noun,Latin
light,3,easy,brightness or not heavy,She kept a light on at her desk during late study sessions.,noun,English
listen,3,easy,to pay attention to a sound,She would listen carefully to each word before spelling it.,verb,English
little,3,easy,small in size,Every little improvement added up over time.,adjective,English
lonely,3,easy,sad from lack of company,She never felt lonely when she had her dictionary to explore.,adjective,English
lovely,3,easy,beautiful or pleasant,She received a lovely thank-you note from a younger student she had helped.,adjective,English
lucky,3,easy,having good fortune,She felt lucky to have such great coaches and family support.,adjective,English
machine,3,easy,a device that does work,She thought of her memory as a well-oiled spelling machine.,noun,Greek
magic,3,easy,a mysterious power,She believed there was magic in the way words connected to their roots.,noun,Greek
market,3,easy,a place where things are bought and sold,She found an old spelling book at the second-hand market.,noun,Latin
maybe,3,easy,perhaps,Maybe this would be the year she made it to the national finals.,adverb,English
middle,3,easy,the point between two ends,She saved the middle words on the list for her afternoon session.,noun,English
mirror,3,easy,a reflective surface,She practiced spelling in front of the mirror every morning.,noun,Latin
money,3,easy,coins and notes used to buy things,She saved money to buy a new thesaurus.,noun,Latin
monkey,3,easy,a primate with a long tail,She laughed at the monkey character in the reading passage.,noun,English
month,3,easy,one of twelve divisions of the year,She improved dramatically with each passing month.,noun,English
morning,3,easy,the early part of the day,Every morning she wrote five new words in her journal.,noun,English
mother,3,easy,a female parent,Her mother cheered loudest when she spelled the final word right.,noun,English
mountain,3,easy,a very large natural elevation of land,She imagined climbing a mountain every time she faced a difficult word.,noun,French
mouse,3,easy,a small rodent,A computer mouse reminded her of the word mouse's Old English roots.,noun,English
music,3,easy,organized sound for enjoyment,She turned her spelling patterns into a kind of music.,noun,Greek
nature,3,easy,the physical world and its living things,She loved how nature words often had Latin or Greek roots.,noun,Latin
never,3,easy,not at any time,She never let a single wrong answer discourage her.,adverb,English
night,3,easy,the dark period between sunset and sunrise,She studied at night after all her homework was done.,noun,English
noise,3,easy,a loud or unpleasant sound,She blocked out every noise and focused on each word.,noun,Latin
north,3,easy,the direction toward the top of a map,She imagined words arriving from the north south east and west.,noun,English
notice,3,easy,to become aware of something,She began to notice patterns in the spelling of long words.,verb,Latin
number,3,easy,a mathematical symbol or count,She tracked the number of words she mastered each week.,noun,Latin
ocean,3,easy,a vast body of salt water,She thought of vocabulary as an ocean she had not yet explored.,noun,Greek
often,3,easy,many times,She often practiced for an extra hour after dinner.,adverb,English
orange,3,easy,a sweet citrus fruit or the color between red and yellow,She peeled an orange and read her word list at the same time.,noun,Arabic
other,3,easy,different or additional,She compared each new word with other words she already knew.,adjective,English
outside,3,easy,on or to the outer side,She sometimes studied outside in the fresh morning air.,adverb,English
paper,3,easy,thin material used for writing,She wrote each word five times on a sheet of paper.,noun,Egyptian
party,3,easy,a social gathering,Her family threw a small party to celebrate her regional win.,noun,French
pencil,3,easy,a writing tool with a graphite center,She always kept a sharp pencil ready for spelling practice.,noun,Greek
people,3,easy,human beings,She loved how people from different cultures had influenced English words.,noun,Latin
pepper,3,easy,a spice used to season food,She added pepper to her lunch and continued reading her word list.,noun,Greek
perfect,3,easy,completely without faults,She aimed for a perfect round in every competition.,adjective,Latin
person,3,easy,a human being,She was the kind of person who turned every challenge into a lesson.,noun,Latin
picture,3,easy,a painting or photograph,She drew a picture of the word to help remember its meaning.,noun,Latin
pillow,3,easy,a soft cushion for sleeping,She kept a notebook under her pillow for late-night word ideas.,noun,English
pizza,3,easy,a flat dough topped with sauce and cheese,She celebrated a perfect practice round with a slice of pizza.,noun,Italian
place,3,easy,a particular location,Her favorite place to study was the corner table in the library.,noun,Latin
planet,3,easy,a large body orbiting a star,She loved that planet came directly from a Greek root.,noun,Greek
plant,3,easy,a living organism that grows in soil,She named each of her plants after a word she had recently learned.,noun,Latin
plastic,3,easy,a light man-made material,She stored her flashcards in a plastic sleeve.,noun,Greek
please,3,easy,to make someone happy or a polite request,She would always say please when asking the judge for a repeat.,verb,French
pocket,3,easy,a small compartment in clothing,She kept a word card in her pocket to review during break.,noun,French
police,3,easy,the force that upholds laws,The story involved a kind police officer who loved crossword puzzles.,noun,Greek
pretty,3,easy,attractive in a pleasing way,She found the rhythm of spelling quite a pretty exercise.,adjective,English
prince,3,easy,the son of a king or queen,The prince in the story used words as weapons in every riddle.,noun,Latin
princess,3,easy,the daughter of a king or queen,The princess in the legend collected rare words on her travels.,noun,Latin
problem,3,easy,a difficulty that needs solving,She turned every spelling problem into a puzzle she loved.,noun,Greek
proud,3,easy,feeling satisfaction in an achievement,She was proud of every word she had mastered.,adjective,French
purple,3,easy,a color between red and blue,She highlighted her trickiest words in purple.,adjective,Latin
puzzle,3,easy,a problem that requires clever thinking,She saw every hard word as a puzzle waiting to be solved.,noun,English
quick,3,easy,moving or acting with speed,She learned to give quick clear answers at the microphone.,adjective,English
quiet,3,easy,making little or no sound,The room fell quiet just before the final word was announced.,adjective,Latin
rabbit,3,easy,a small animal with long ears,She called her pet rabbit Dictionary.,noun,English
rainbow,3,easy,an arc of colors in the sky after rain,A rainbow appeared on the morning of the finals.,noun,English
reach,3,easy,to arrive at or stretch toward,She reached the top of the competition ladder that year.,verb,English
ready,3,easy,fully prepared,She had never felt so ready in her entire life.,adjective,English
really,3,easy,in actual fact or very much,She really loved the stories behind unusual words.,adverb,English
reason,3,easy,the cause of something,She always had a reason for every spelling choice she made.,noun,French
remember,3,easy,to bring something back to mind,She could remember the origin of almost every word on the list.,verb,Latin
report,3,easy,an account of events or findings,She wrote a report on the history of the spelling bee.,noun,Latin
river,3,easy,a large natural stream of water,She read about ancient civilizations that formed near great rivers.,noun,Latin
rocket,3,easy,a vehicle that travels into space,She felt like a rocket launching each time she nailed a hard word.,noun,Italian
round,3,easy,a single stage in a competition,She passed every round without missing a single word.,noun,French
ruler,3,easy,a measuring tool or a person who rules,She used a ruler to underline the words she still needed to practice.,noun,English
safety,3,easy,the condition of being free from harm,The safety of her thorough preparation gave her great confidence.,noun,French
sailor,3,easy,a person who works on a ship,The sailor in the story navigated by the stars and by memory.,noun,English
sandwich,3,easy,food between two slices of bread,She ate a sandwich at her desk while reviewing the final section.,noun,English
school,3,easy,a place for education,Her school was known for producing excellent young spellers.,noun,Greek
science,3,easy,the study of the natural world through observation,She loved how science words often came from Greek roots.,noun,Latin
season,3,easy,one of the four parts of the year,She worked on a new spelling goal each season.,noun,Latin
secret,3,easy,something kept hidden,Her secret to success was studying a little every single day.,noun,Latin
seven,3,easy,the number 7,She had seven mnemonics for her seven trickiest words.,number,English
shadow,3,easy,a dark area where light is blocked,She spelled words in the shadow of the oak tree on sunny afternoons.,noun,English
share,3,easy,to let others have some of something,She was always ready to share her study tips with friends.,verb,English
silver,3,easy,a shiny gray-white metal,She kept her competition medals in a silver box.,noun,English
simple,3,easy,not complicated,She kept her study method simple and consistent.,adjective,Latin
sister,3,easy,a female sibling,Her sister was her most enthusiastic supporter.,noun,English
smart,3,easy,intelligent or clever,She was smart enough to know that clever alone was not enough.,adjective,English
smile,3,easy,a happy expression,A huge smile spread across her face when she heard she had won.,noun,English
snack,3,easy,a small amount of food eaten between meals,She had a healthy snack before every long practice session.,noun,English
soccer,3,easy,a sport played with a round ball using feet,She played soccer to stay active between study sessions.,noun,English
sometimes,3,easy,on some occasions but not always,She sometimes stayed an extra hour when she felt close to mastering a set.,adverb,English
south,3,easy,the direction opposite to north,She traveled south to compete in the state spelling bee.,noun,English
spider,3,easy,an eight-legged creature that spins webs,She named her pet spider Arachnid and spoke word lists to it.,noun,English
spring,3,easy,the season after winter,She prepared for the spring competitions all through the winter.,noun,English
square,3,easy,a shape with four equal sides,She arranged her flashcards in a square on the floor.,noun,French
stamp,3,easy,a small adhesive label for letters or a mark,She collected stamps from countries whose words she was learning.,noun,English
start,3,easy,to begin something,She would start each session with the words she found hardest.,verb,English
stone,3,easy,a small piece of rock,She wrote words in chalk on a flat stone in the garden.,noun,English
store,3,easy,a shop or to keep something,She liked to store her best study tips in a special notebook.,noun,Latin
story,3,easy,an account of events real or imagined,She turned every spelling rule into a memorable story.,noun,Latin
strong,3,easy,having great physical or mental power,She grew stronger as a speller with every competition she entered.,adjective,English
student,3,easy,a person who is learning,As a dedicated student she rarely missed a practice session.,noun,Latin
study,3,easy,to spend time learning about something,She made it a goal to study every day without exception.,verb,Latin
sugar,3,easy,a sweet crystalline substance,She kept a jar of sugar-free gummies for celebrating correct spellings.,noun,Arabic
summer,3,easy,the warmest season of the year,She spent the summer reading books about etymology.,noun,English
sunny,3,easy,bright with sunshine,She loved sunny mornings for outdoor spelling practice.,adjective,English
surprise,3,easy,an unexpected event or gift,Her win came as no surprise to those who had seen her practice.,noun,French
sweet,3,easy,having a pleasant sugary taste,She found spelling a sweet and satisfying pursuit.,adjective,English
table,3,easy,a piece of furniture with a flat top,She spread all her word cards across the table every Sunday.,noun,Latin
teach,3,easy,to give lessons to someone,She wanted to teach spelling to younger students one day.,verb,English
thankful,3,easy,feeling grateful,She was thankful for every teacher who had supported her journey.,adjective,English
thunder,3,easy,the loud rumbling sound during a storm,Thunder rattled the windows during her late-night study session.,noun,English
ticket,3,easy,a document granting entry or permission,She kept her first competition ticket as a memento.,noun,French
tiger,3,easy,a large wild cat with striped fur,The word tiger surprised her with its Tamil origins.,noun,Tamil
together,3,easy,with each other,She and her study partner worked together every evening.,adverb,English
tomorrow,3,easy,the day after today,She laid out all her materials so she would be ready tomorrow.,noun,English
tooth,3,easy,one of the hard structures in the mouth,She lost a tooth the week before the finals and declared it lucky.,noun,English
tower,3,easy,a tall narrow structure,She climbed the tower of hard words one step at a time.,noun,Latin
town,3,easy,a settlement smaller than a city,Her whole town celebrated when she won the regional bee.,noun,English
train,3,easy,a series of connected vehicles on rails,She studied on the train ride to the competition.,noun,English
travel,3,easy,to go from one place to another,She dreamed of traveling to a national spelling bee one day.,verb,French
trouble,3,easy,a problem or difficulty,She used her trouble words as her biggest motivation.,noun,French
trust,3,easy,firm belief in the reliability of something,She learned to trust the process of steady daily improvement.,noun,English
turtle,3,easy,a slow-moving reptile with a shell,She thought of herself as a turtle steady determined and impossible to stop.,noun,French
umbrella,3,easy,a device held over the head to stay dry,She carried a small umbrella to every outdoor competition.,noun,Italian
under,3,easy,below or beneath something,She filed the harder words under the tab still working on it.,preposition,English
until,3,easy,up to the point in time when,She practiced until each word felt completely natural.,preposition,English
usually,3,easy,in most cases,She usually reviewed her trickiest words right before bed.,adverb,Latin
valley,3,easy,a low area between hills,The story was about a child from a valley who became a champion speller.,noun,French
village,3,easy,a small community in a rural area,The whole village cheered her on at the regional finals.,noun,French
visitor,3,easy,a person who comes to see someone,A special visitor came to the class to talk about word histories.,noun,Latin
voice,3,easy,the sound produced when speaking,She spoke in a calm clear voice at the microphone.,noun,Latin
wagon,3,easy,a four-wheeled vehicle,She imagined herself in a covered wagon heading toward the finals.,noun,English
water,3,easy,a clear liquid essential for life,She kept a bottle of water beside her during study sessions.,noun,English
weather,3,easy,the atmospheric conditions outside,Whatever the weather she found a way to practice.,noun,English
window,3,easy,an opening in a wall fitted with glass,She gazed out the window and thought about word origins.,noun,English
winter,3,easy,the coldest season of the year,She prepared for the spring competition all through the winter.,noun,English
wish,3,easy,to desire or hope for something,She made a wish before the competition began.,noun,English
without,3,easy,not having something,She could not imagine life without her love of words.,preposition,English
wonder,3,easy,to feel curious or amazed,She would wonder at how many words a single root could create.,verb,English
wooden,3,easy,made of wood,She kept her word cards in a small wooden box.,adjective,English
world,3,easy,the earth and all people on it,She dreamed of being the best young speller in the world.,noun,English
worry,3,easy,to feel anxious about something,She tried not to worry about words she had not yet encountered.,verb,English
writing,3,easy,the activity of forming letters and words,Her writing grew more confident through her love of spelling.,noun,English
yellow,3,easy,the color of the sun,She used a yellow highlighter for the most important rules.,adjective,English
yesterday,3,easy,the day before today,Yesterday had been her hardest practice session ever.,noun,English
absence,3,medium,the state of not being present,Her absence from one practice session worried her coach.,noun,Latin
accept,3,medium,to agree to receive or take something,She stepped forward to accept the first-place trophy.,verb,Latin
action,3,medium,something done to achieve a goal,She took quick action to fix the mistake she had noticed.,noun,Latin
active,3,medium,doing something or in motion,She stayed active and alert throughout every long round.,adjective,Latin
actual,3,medium,existing in reality,Her actual preparation time was about two hours per day.,adjective,Latin
adult,3,medium,a fully grown person,Every adult in the room was amazed by her composure.,noun,Latin
agree,3,medium,to share the same opinion,She and her coach agree that roots are the key to spelling.,verb,French
ahead,3,medium,in front or in advance of,She was always two weeks ahead on her study schedule.,adverb,English
allow,3,medium,to let something happen,The rules did not allow looking at any written notes.,verb,English
almost,3,medium,very nearly but not quite,She had almost memorized the full list by Thursday.,adverb,English
alone,3,medium,without other people,She enjoyed studying alone before joining her group sessions.,adjective,English
amount,3,medium,how much of something there is,The amount of effort she put in was remarkable.,noun,French
another,3,medium,one more or a different one,She turned to another page in her word book.,adjective,English
anyway,3,medium,regardless of something else,She decided to try anyway even though the word was unfamiliar.,adverb,English
appear,3,medium,to become visible or to seem,A smile began to appear on her face as she spelled the last letter.,verb,Latin
arrive,3,medium,to reach a destination,She was the first to arrive at the spelling bee venue.,verb,Latin
away,3,medium,at a distance,She was never far away from her dictionary.,adverb,English
balance,3,medium,a stable or equal state,She found a balance between rest and study.,noun,Latin
belong,3,medium,to be rightly placed somewhere,She felt she belong on the spelling bee stage.,verb,English
better,3,medium,of higher quality,She kept getting better with every single session.,adjective,English
beyond,3,medium,farther away or past a limit,She aimed to go beyond her personal best at every competition.,preposition,English
bother,3,medium,to cause someone inconvenience or worry,She did not let difficult words bother her.,verb,English
careless,3,medium,not giving enough attention to something,She refused to be careless even with the easy words.,adjective,English
certain,3,medium,completely sure about something,She was certain she had studied the right words.,adjective,Latin
chance,3,medium,an opportunity or the possibility of something,She took every chance to practice with different word lists.,noun,Latin
chase,3,medium,to run after someone or something,She would chase down the meaning of every new word she found.,verb,French
choose,3,medium,to select from options,She got to choose which words to review each evening.,verb,English
close,3,medium,near in distance or to shut something,Her house was close to the library where she studied.,adjective,English
coming,3,medium,moving toward or approaching,The competition was coming faster than she expected.,verb,English
compare,3,medium,to look at similarities and differences,She liked to compare words with the same root.,verb,Latin
complete,3,medium,having all parts or finishing something,She would not stop until she had complete mastery of the list.,adjective,Latin
correct,3,medium,free from error,She made sure every letter was correct before speaking.,adjective,Latin
could,3,medium,was able to do something,She could spell any word she had studied.,verb,English
decide,3,medium,to make a choice after thinking,She had to decide which words needed the most attention.,verb,Latin
describe,3,medium,to give details about something,She could describe the origin of almost any word on the list.,verb,Latin
different,3,medium,not the same as something else,Every spelling word felt different once she knew its origin.,adjective,Latin
discover,3,medium,to find something for the first time,She would discover a new word trick almost every week.,verb,Latin
divide,3,medium,to separate into parts,She would divide long words into syllables first.,verb,Latin
double,3,medium,twice the amount or containing two of something,She always double-checked her answer before speaking.,adjective,French
either,3,medium,one or the other of two options,She could choose either the dictionary or the thesaurus.,adjective,English
enough,3,medium,as much as is needed,She always made sure she had enough time to prepare.,adjective,English
escape,3,medium,to get away from something,She never tried to escape from a hard word.,verb,French
even,3,medium,flat and level or used for emphasis,Even the hardest words became easier with enough practice.,adjective,English
figure,3,medium,a shape or number or to work out,She began to figure out the pattern in a new spelling rule.,verb,Latin
final,3,medium,the last in a series,She made it to the final round without a single mistake.,adjective,Latin
freedom,3,medium,the right to act without being controlled,She felt a sense of freedom each time she mastered a hard word.,noun,English
gentle,3,medium,calm and kind in manner,She had a gentle but determined approach to competition.,adjective,Latin
given,3,medium,provided or handed to someone,She was given a second chance to spell the word.,verb,English
glad,3,medium,feeling pleased,She was glad that all her hard work had paid off.,adjective,English
happen,3,medium,to take place or occur,She wondered what would happen if she got every word right.,verb,English
herself,3,medium,that same girl,She pushed herself to learn five new words every day.,pronoun,English
however,3,medium,in spite of that or but,She felt nervous however she remained completely focused.,adverb,English
imagine,3,medium,to picture something in the mind,She would imagine the word written out before she spelled it.,verb,Latin
include,3,medium,to have something as part of a whole,She made sure to include the trickiest words in every review.,verb,Latin
increase,3,medium,to become larger in amount,Her confidence would increase with every correct spelling.,verb,Latin
instead,3,medium,as an alternative,Instead of worrying she focused on what she had already learned.,adverb,English
junior,3,medium,lower in rank or younger in age,Even as a junior competitor she outspelled older students.,adjective,Latin
keep,3,medium,to continue having something,She decided to keep a word journal for the whole year.,verb,English
knowledge,3,medium,understanding gained through learning,Her knowledge of word roots gave her a huge advantage.,noun,English
larger,3,medium,greater in size than something else,She set a larger goal every time she achieved a smaller one.,adjective,English
legend,3,medium,a traditional story or a very famous person,She was becoming a legend at her school.,noun,Latin
level,3,medium,a stage of difficulty or a flat surface,She moved up to the next level of the spelling challenge.,noun,Latin
longer,3,medium,greater in length or duration,She spent longer on hard words than easy ones.,adjective,English
manage,3,medium,to handle or succeed in doing something,She could manage the hardest words by breaking them into parts.,verb,Italian
mention,3,medium,to briefly refer to something,She would mention a new word each day at the dinner table.,verb,Latin
myself,3,medium,used to refer to oneself,She taught herself the origins of every major root word.,pronoun,English
nearby,3,medium,not far away,She found a nearby library that had every spelling resource she needed.,adjective,English
